ID_Venda,Produto,Filial,Data_Venda,Quantidade,Preço_Unitario,Desconto (%),Total_Venda,Ano_Mês
72,Produto E,Filial Leste,2025-01-24,19,47.43495141236696,4.217724553615763,863.2512405733852,2025-01
73,Produto E,Filial Leste,2025-01-20,17,78.31620453325381,17.143833141191774,1103.1266867944912,2025-01
74,Produto B,Filial Sul,2025-02-06,7,64.86679104912118,16.4085364051804,379.5617001746768,2025-02
75,Produto E,Filial Oeste,2025-01-04,4,90.64367196914972,8.811470560246146,330.626525995448,2025-01
76,Produto B,Filial Norte,2025-01-20,14,83.62240742248237,2.648092269929092,1139.712124818386,2025-01
77,Produto A,Filial Leste,2025-03-01,15,32.75322454802805,7.645045039549167,453.73838669139946,2025-03
78,Produto D,Filial Oeste,2025-01-24,8,34.42947198707802,12.386869082738228,241.31790692928504,2025-01
79,Produto D,Filial Sul,2025-02-19,15,21.282082821314702,9.088063089599055,290.2193056159935,2025-02
80,Produto D,Filial Norte,2025-02-18,14,40.32682531457108,15.6037853696599,476.4803966452283,2025-02
81,Produto E,Filial Oeste,2025-02-20,9,99.95895268471848,19.952456445027707,720.1321756865475,2025-02
82,Produto A,Filial Norte,2025-02-05,8,46.51760517535549,3.822641768977937,357.91523015995284,2025-02
83,Produto E,Filial Norte,2025-03-07,17,29.843959122019577,9.19301639319145,460.7067841484343,2025-03
84,Produto E,Filial Norte,2025-03-20,2,78.62345960279977,8.61967803841644,143.69274104474803,2025-03
85,Produto A,Filial Leste,2025-02-03,3,58.82239031163905,6.089850654979017,165.72058376991416,2025-02
86,Produto A,Filial Leste,2025-02-05,8,23.46413045742573,3.961910334405792,180.27602118363615,2025-02
87,Produto A,Filial Sul,2025-01-06,12,44.26207130447792,1.3138423297931845,524.1664497076374,2025-01
88,Produto A,Filial Sul,2025-02-08,1,47.302274398540895,17.742386344473967,38.909722125028566,2025-02
89,Produto D,Filial Oeste,2025-02-11,10,77.84467305122968,8.396973953726352,713.0807613075449,2025-02
90,Produto C,Filial Sul,2025-02-27,3,11.860423200271402,9.937910370000978,32.04523491937689,2025-02
91,Produto C,Filial Norte,2025-01-12,6,34.21176821184794,18.33884096401832,167.62635869099142,2025-01
92,Produto A,Filial Norte,2025-01-03,7,56.58366711839698,15.525809550318955,334.5901630750575,2025-01
93,Produto C,Filial Leste,2025-01-18,18,34.196206820755904,2.610025282343684,599.4661891883695,2025-01
94,Produto C,Filial Norte,2025-02-09,11,66.5590642677099,11.308399352154847,649.3552942278586,2025-02
95,Produto A,Filial Oeste,2025-01-21,19,53.368073134715495,8.845045530391182,924.3052125778914,2025-01
96,Produto C,Filial Norte,2025-01-15,5,42.55392293736226,15.944221451575256,178.8451561394827,2025-01
97,Produto E,Filial Norte,2025-01-26,19,95.4287764183461,14.484650952238985,1550.5187736769662,2025-01
98,Produto B,Filial Oeste,2025-01-08,11,66.89435492678118,13.80811443822144,634.2325643035933,2025-01
99,Produto B,Filial Sul,2025-03-28,12,21.694723504114712,6.810896709597937,242.60541953779915,2025-03
100,Produto A,Filial Sul,2025-02-11,10,60.4082527699056,16.09927460798509,506.8296227059273,2025-02
101,Produto D,Filial Oeste,2025-02-13,8,80.26586678808108,1.0478259118972244,635.3985618997333,2025-02
102,Produto A,Filial Leste,2025-01-14,9,73.76407277435176,3.1924980286433446,642.6824058466519,2025-01
103,Produto D,Filial Norte,2025-03-19,4,25.488030636573345,6.712465459558235,95.10862153508695,2025-03
104,Produto B,Filial Oeste,2025-01-02,5,97.5177999136093,1.5361488213856256,480.098906897976,2025-01
105,Produto A,Filial Norte,2025-02-06,8,50.39322811719454,4.699885550693832,384.19843256309065,2025-02
106,Produto E,Filial Leste,2025-03-10,9,24.31225033662352,16.603019659958363,182.4811437011006,2025-03
107,Produto C,Filial Norte,2025-02-07,15,26.217617871533317,18.965030755801585,318.68157868137735,2025-02
108,Produto D,Filial Oeste,2025-02-10,15,18.84114929701725,6.09204711548381,265.40006407116465,2025-02
109,Produto C,Filial Norte,2025-03-03,16,82.31662975914409,5.2903160797767645,1247.3891177386524,2025-03
110,Produto C,Filial Sul,2025-03-01,14,20.98274448896638,5.597853044928538,277.3142580275368,2025-03
111,Produto A,Filial Leste,2025-01-14,8,21.261273142757226,5.554381747016876,160.64272694506013,2025-01
112,Produto C,Filial Leste,2025-03-30,18,86.5424453284754,0.7186036437194598,1546.569866933659,2025-03
113,Produto E,Filial Leste,2025-03-25,10,41.014367600280366,18.53832692662216,334.109900476538,2025-03
114,Produto C,Filial Oeste,2025-01-02,6,12.77721138772652,4.273962831406568,73.38670873274904,2025-01
115,Produto A,Filial Leste,2025-03-11,12,14.67057695665698,8.4000814816281,161.25883846167406,2025-03
116,Produto E,Filial Sul,2025-01-17,2,22.7953402033506,0.1937376548193548,45.50235409166506,2025-01
117,Produto B,Filial Oeste,2025-03-30,7,29.205401317812058,17.159101818301142,169.35811738471656,2025-03
118,Produto C,Filial Sul,2025-01-28,16,69.86315748145648,14.623146889098344,954.351445465296,2025-01
119,Produto A,Filial Norte,2025-03-07,3,24.159365200164544,18.935120703474063,58.75428071496084,2025-03
120,Produto B,Filial Norte,2025-02-04,13,20.69869520593648,15.63230958392798,227.01914418964083,2025-02
121,Produto B,Filial Norte,2025-01-05,3,78.82472273286513,6.274130241041305,221.6374708993964,2025-01
122,Produto D,Filial Norte,2025-03-06,18,70.3949755473923,4.957467174568473,1204.2930193575269,2025-03
123,Produto E,Filial Sul,2025-02-09,11,49.17917993097126,13.954326151065858,465.48212441482406,2025-02
124,Produto C,Filial Oeste,2025-03-17,8,59.43787943320935,7.282255500209988,440.8756895118103,2025-03
125,Produto A,Filial Oeste,2025-02-25,6,38.07856182937766,11.324300315052332,202.5985867929963,2025-02
126,Produto D,Filial Leste,2025-02-05,1,53.42503782118246,0.1251494205294046,53.35817669593163,2025-02
127,Produto E,Filial Sul,2025-02-14,1,55.60053840844712,1.237714033609505,54.91236274180333,2025-02
128,Produto D,Filial Norte,2025-01-23,8,44.85135440602863,10.707358823633024,320.39167162012643,2025-01
129,Produto E,Filial Sul,2025-02-16,5,91.59149896049465,11.321432928963302,406.1101441852506,2025-02
130,Produto E,Filial Leste,2025-01-31,16,11.445567848290551,15.029058889186873,155.60650745870603,2025-01
131,Produto C,Filial Leste,2025-01-11,11,80.39541367821215,2.639306392479235,861.0088562431727,2025-01
132,Produto E,Filial Sul,2025-01-10,5,21.19445481171919,10.263661675135577,95.0956383797742,2025-01
133,Produto D,Filial Sul,2025-03-08,4,81.77926244834795,3.888952888633772,314.3956218362381,2025-03
134,Produto E,Filial Sul,2025-01-14,6,65.43207241090491,1.8639223912538936,385.2748161730596,2025-01
135,Produto C,Filial Oeste,2025-03-21,14,85.89502818427621,8.209915881211092,1103.803660738864,2025-03
136,Produto C,Filial Norte,2025-03-15,19,18.77628930768077,3.2667329617811447,345.0954434414801,2025-03
137,Produto D,Filial Sul,2025-01-10,9,60.308257068979664,4.435639563846372,518.6988014234564,2025-01
138,Produto B,Filial Sul,2025-03-17,12,55.09790922359774,6.351091597390035,619.1830864867228,2025-03
139,Produto B,Filial Sul,2025-01-01,11,73.55738646670227,5.187768014863925,767.1553988891412,2025-01
140,Produto E,Filial Leste,2025-01-05,14,58.08614967043082,1.751825948118928,798.9601399953743,2025-01
141,Produto A,Filial Leste,2025-01-20,16,58.66611104197938,1.7983248971940458,921.7776601743352,2025-01
142,Produto E,Filial Oeste,2025-01-08,1,48.66363492184582,3.8649883046833633,46.782791123482674,2025-01
143,Produto D,Filial Norte,2025-02-12,13,37.79509816066067,1.011183759190779,486.36796346176817,2025-02
144,Produto D,Filial Oeste,2025-03-17,13,53.403792512697294,12.529140393538542,607.2658328529965,2025-03
145,Produto D,Filial Norte,2025-01-01,2,20.66431228915605,5.746534330178039,38.953660978729,2025-01
146,Produto D,Filial Leste,2025-02-26,4,96.53620050847763,5.59491935538142,364.540311765116,2025-02
147,Produto D,Filial Leste,2025-03-05,6,74.29696872639384,6.639965884755304,416.18205209732383,2025-03
148,Produto C,Filial Leste,2025-03-25,5,95.7220405019062,13.255925484194432,415.1659907051156,2025-03
149,Produto B,Filial Oeste,2025-01-28,3,30.40546440969669,17.412677629669812,75.33317673069666,2025-01
150,Produto D,Filial Sul,2025-02-06,1,89.14069181588752,15.181738651112768,75.60758495260562,2025-02
151,Produto A,Filial Sul,2025-02-16,4,82.79109861071846,14.5505846045019,282.9780390494771,2025-02
152,Produto A,Filial Leste,2025-03-17,2,70.94371712119063,9.687823712016986,128.1416297434753,2025-03
153,Produto A,Filial Sul,2025-02-06,5,66.25262674766851,13.876111139348236,285.2966931371224,2025-02
154,Produto A,Filial Sul,2025-02-18,3,38.489469874108295,11.055247360671665,102.70309131514328,2025-02
155,Produto C,Filial Oeste,2025-02-13,9,83.47697064685276,4.325010563730578,718.799245632847,2025-02
156,Produto A,Filial Norte,2025-02-25,6,55.136391533176045,4.171767354821014,317.0173773034123,2025-02
157,Produto D,Filial Leste,2025-01-28,18,16.38024183021568,5.927840137505669,277.3664510469059,2025-01
158,Produto E,Filial Leste,2025-03-20,6,38.1576844769617,18.216053419396264,187.2411617342021,2025-03
159,Produto A,Filial Oeste,2025-01-06,19,94.17673886907949,10.948296807594517,1593.4538095056091,2025-01
160,Produto C,Filial Oeste,2025-03-02,12,86.56122345443616,14.678107540037388,886.2680878538634,2025-03
161,Produto C,Filial Sul,2025-01-20,11,98.37151282688852,6.931175196330952,1007.0853202253328,2025-01
162,Produto A,Filial Leste,2025-03-19,2,66.51940443436882,8.154315413304506,122.19040477147746,2025-03
163,Produto E,Filial Norte,2025-01-02,15,32.27590658263708,2.5113115727450275,471.98037008128415,2025-01
164,Produto A,Filial Oeste,2025-03-14,12,24.65335447091774,3.425899156433408,285.70506489679235,2025-03
165,Produto C,Filial Norte,2025-02-06,12,26.822299654761547,16.54713109652291,268.6077428134313,2025-02
166,Produto B,Filial Norte,2025-01-20,9,11.781609251252895,11.69677263377764,93.6318708408036,2025-01
167,Produto D,Filial Leste,2025-01-26,2,45.16138998873453,6.750649317676379,84.2254058472137,2025-01
168,Produto C,Filial Leste,2025-01-29,3,27.228491244958825,16.05702417991092,68.56921746579258,2025-01
169,Produto A,Filial Oeste,2025-01-01,12,47.04899144110322,4.93039811275966,536.7514662602233,2025-01
170,Produto D,Filial Leste,2025-02-04,16,94.14949886548888,19.52065397200408,1212.3344156092942,2025-02
171,Produto A,Filial Leste,2025-03-11,1,48.748618855647095,6.896352154923395,45.38674242870029,2025-03
172,Produto A,Filial Leste,2025-02-28,3,89.01860472863514,6.746219083024552,249.0396438869693,2025-02
173,Produto B,Filial Norte,2025-03-10,2,64.49542899542888,6.2382381107341045,120.94410112830916,2025-03
174,Produto D,Filial Oeste,2025-02-02,9,32.24183991952528,2.4422303184857586,283.08977936795685,2025-02
175,Produto D,Filial Sul,2025-02-20,19,42.02692833332903,2.222742946640248,780.7627772140976,2025-02
176,Produto B,Filial Norte,2025-03-19,15,17.55275822392865,12.962100690682467,229.16328043426452,2025-03
177,Produto C,Filial Leste,2025-01-12,18,40.011633423640944,17.50236089116094,594.1557529809647,2025-01
178,Produto A,Filial Norte,2025-01-20,11,70.97868509531807,15.81041020543347,657.3233020565797,2025-01
179,Produto E,Filial Leste,2025-02-22,16,16.489998363649168,2.822151880427022,256.39400903595293,2025-02
180,Produto A,Filial Leste,2025-03-29,17,28.48612676302264,10.91164243584133,431.4229819359588,2025-03
181,Produto A,Filial Norte,2025-02-12,5,44.329693727198034,2.1118309195328,216.9676277426644,2025-02
182,Produto C,Filial Oeste,2025-03-30,12,98.38445833143663,0.9058928722615488,1169.9184064319882,2025-03
183,Produto A,Filial Leste,2025-02-19,11,80.63756406629922,13.127717187695344,770.5686197949169,2025-02
184,Produto B,Filial Oeste,2025-01-29,15,76.01380718428935,10.703046673607004,1018.1702088445384,2025-01
185,Produto B,Filial Sul,2025-02-26,3,20.45718608729014,1.640473704229417,60.3647739867086,2025-02
186,Produto D,Filial Leste,2025-02-08,1,80.28963042534923,0.6987849281197689,79.72857858909383,2025-02
187,Produto E,Filial Oeste,2025-02-25,16,80.67419303644137,19.79512826818669,1035.2741287288522,2025-02
188,Produto A,Filial Oeste,2025-02-12,2,64.09924260618953,0.6004266429814376,127.42874735126532,2025-02
189,Produto A,Filial Sul,2025-02-19,2,99.13256037985347,8.890565061003192,180.63823120528863,2025-02
190,Produto C,Filial Oeste,2025-01-23,3,39.27285153320968,10.09238049215391,105.92785777907837,2025-01
191,Produto B,Filial Oeste,2025-02-13,8,94.71452034176664,2.345602956008901,739.9431500228842,2025-02
192,Produto E,Filial Sul,2025-02-07,15,92.32580034608532,3.381235568794325,1338.0607131841418,2025-02
193,Produto D,Filial Leste,2025-03-25,7,11.033259377444006,7.03610012820705,71.79863740169576,2025-03
194,Produto B,Filial Oeste,2025-01-23,6,50.510487382733,15.233517524273251,256.8957806141312,2025-01
195,Produto D,Filial Oeste,2025-02-14,9,97.9393809746416,10.141648481205332,792.0604190837247,2025-02
196,Produto C,Filial Oeste,2025-02-21,1,19.28092261672682,12.75803749105923,16.821055280662694,2025-02
197,Produto C,Filial Norte,2025-03-21,8,59.300622494498754,19.70349110181349,380.9306369438014,2025-03
198,Produto A,Filial Sul,2025-02-19,3,98.10617563369937,15.360108706264192,249.110881226414,2025-02
199,Produto E,Filial Norte,2025-01-08,4,59.99458816952742,8.687229962824354,219.13088131996463,2025-01
200,Produto D,Filial Sul,2025-03-26,15,27.08337726749404,8.928838435930974,369.9771940242876,2025-03
201,Produto B,Filial Leste,2025-01-01,6,62.39649070833308,12.3754415408201,328.0478968632004,2025-01
202,Produto C,Filial Leste,2025-01-08,15,28.399651655459216,13.307304168378089,369.3063544036116,2025-01
203,Produto A,Filial Oeste,2025-01-29,3,56.77338366050358,10.014218516733424,153.26391888419195,2025-01
204,Produto A,Filial Sul,2025-01-05,14,16.66379961211132,12.8972244562996,203.2048476246508,2025-01
205,Produto D,Filial Leste,2025-03-27,14,64.49344022929643,0.4706498882819754,898.6586269487126,2025-03
206,Produto C,Filial Sul,2025-02-16,4,56.51109452153424,8.592457277936882,206.62161146990752,2025-02
207,Produto E,Filial Leste,2025-02-03,12,76.61452318853168,5.578761521469535,868.0845797883902,2025-02
208,Produto C,Filial Norte,2025-03-06,17,66.76304240429064,2.583488904862208,1105.649852390865,2025-03
209,Produto D,Filial Leste,2025-02-24,7,59.4645641677681,1.990930256175503,407.9646631763438,2025-02
210,Produto D,Filial Norte,2025-03-31,9,72.0800964323309,12.06384331229335,570.460198854461,2025-03
211,Produto C,Filial Leste,2025-02-12,3,22.95477222150077,10.472010943052236,61.6528378875375,2025-02
212,Produto D,Filial Oeste,2025-03-15,13,63.582369513274365,5.071682339927383,784.6497581957093,2025-03
213,Produto C,Filial Norte,2025-01-30,15,25.48995425404999,9.41900117545029,346.3358274485892,2025-01
214,Produto B,Filial Leste,2025-03-23,18,93.29699870666929,9.844646303648164,1514.0203050974128,2025-03
215,Produto C,Filial Oeste,2025-01-17,19,16.150069436104378,3.900179608772316,294.8835667019424,2025-01
216,Produto C,Filial Norte,2025-01-26,1,48.7337274721714,13.041861237633013,42.37794235932456,2025-01
217,Produto D,Filial Oeste,2025-01-08,6,72.62177298899005,15.618387127721808,367.6765400673256,2025-01
218,Produto D,Filial Sul,2025-02-16,2,51.22199905014329,15.82927081779038,86.22786020442018,2025-02
219,Produto A,Filial Sul,2025-03-17,14,18.28857279096121,12.0493966140691,225.188741684558,2025-03
220,Produto A,Filial Norte,2025-03-13,6,59.804111451403664,10.23277165038028,322.1069597342556,2025-03
221,Produto B,Filial Leste,2025-03-30,14,67.74687179446191,1.220142860107898,936.8836844544146,2025-03
222,Produto A,Filial Norte,2025-02-15,4,73.34130798914569,5.756625977032117,276.4772928061896,2025-02
223,Produto C,Filial Oeste,2025-03-09,8,43.5933833016483,1.865428935563398,342.24143772438634,2025-03
224,Produto D,Filial Leste,2025-02-02,3,60.7293973925886,19.27646321756947,147.06875232586398,2025-02
225,Produto A,Filial Sul,2025-01-01,19,50.56178274450218,2.701602924515214,934.720278720604,2025-01
226,Produto A,Filial Leste,2025-01-19,14,70.4850434877028,3.035508197022041,956.8364990094263,2025-01
227,Produto B,Filial Sul,2025-01-31,17,62.52012705923367,17.791532366609843,873.7462531033567,2025-01
228,Produto B,Filial Leste,2025-03-21,8,57.318059760322136,18.87856566952916,371.977857663758,2025-03
229,Produto C,Filial Leste,2025-01-14,14,32.45719301544238,15.316580784698196,384.80205157501416,2025-01
230,Produto D,Filial Leste,2025-02-22,6,10.181666597341051,0.1080984734533974,61.02396222706327,2025-02
231,Produto B,Filial Oeste,2025-02-17,16,25.667350778028634,0.0269254191312739,410.5670357800281,2025-02
232,Produto A,Filial Oeste,2025-03-10,19,20.535943728175177,7.562015395749015,360.6772375339761,2025-03
233,Produto D,Filial Norte,2025-03-31,14,50.41762705098521,2.8679074002178506,685.6037467128607,2025-03
234,Produto D,Filial Norte,2025-03-03,19,65.10323356856603,0.3677228430319457,1232.4128480364573,2025-03
235,Produto A,Filial Sul,2025-03-07,3,29.17765078163273,9.281333788090096,79.40872686319837,2025-03
236,Produto B,Filial Oeste,2025-03-05,10,94.51513863704685,18.861237948139436,766.8841344169957,2025-03
237,Produto A,Filial Sul,2025-03-11,19,10.6013916301499,6.476391498048628,188.38127607486064,2025-03
238,Produto D,Filial Norte,2025-03-04,9,79.50709136488086,13.22281356857393,620.9461520991623,2025-03
239,Produto E,Filial Sul,2025-03-14,13,66.2684292577398,13.044707062648817,749.1107882186368,2025-03
240,Produto E,Filial Norte,2025-02-02,7,43.61993209429137,5.021602073303355,290.0065887590965,2025-02
241,Produto C,Filial Oeste,2025-02-10,14,14.544004997116712,13.008504976477289,177.1286633660275,2025-02
242,Produto A,Filial Leste,2025-03-30,9,66.47379146058515,4.246679485737825,572.857763357127,2025-03
243,Produto A,Filial Oeste,2025-02-17,19,44.705216157908325,2.440148271537781,828.672509372334,2025-02
244,Produto C,Filial Sul,2025-01-13,15,94.26404254718972,14.0276657111938,1215.6149665921866,2025-01
245,Produto C,Filial Sul,2025-03-14,14,58.77910674007893,2.2688163420783347,804.2372346488529,2025-03
246,Produto C,Filial Oeste,2025-03-18,6,94.56863601641574,19.938184371787106,454.2802020574711,2025-03
247,Produto D,Filial Oeste,2025-01-31,4,29.84353241259737,3.6690480230045854,114.99423550647292,2025-01
248,Produto A,Filial Norte,2025-03-16,8,75.3153319327693,11.88283725512915,530.9258688883041,2025-03
249,Produto D,Filial Sul,2025-03-09,17,65.55241187638532,8.227491428251788,1022.704577740138,2025-03
250,Produto C,Filial Sul,2025-01-04,9,76.54674068481806,2.527728448113342,671.5066224998193,2025-01
251,Produto A,Filial Oeste,2025-01-19,1,29.320107757528312,0.5568781515482679,29.15683048341623,2025-01
252,Produto D,Filial Leste,2025-03-11,14,69.84950646139964,12.454645645856663,856.0999712475359,2025-03
253,Produto D,Filial Sul,2025-03-23,11,54.82363537511821,16.135151275782523,505.7553475970541,2025-03
254,Produto C,Filial Leste,2025-01-13,3,76.85424774156846,16.840313230134882,191.7352550736734,2025-01
255,Produto A,Filial Oeste,2025-01-23,9,39.4340179736636,9.65426946153869,320.6425645707706,2025-01
256,Produto C,Filial Oeste,2025-03-24,14,90.10513229187274,15.54910934364771,1065.3242144659944,2025-03
257,Produto A,Filial Norte,2025-03-16,9,17.587118315021534,13.456942669770894,136.98386897493882,2025-03
258,Produto E,Filial Sul,2025-01-01,4,82.64703869120693,14.485090549982663,282.7021611996256,2025-01
259,Produto B,Filial Leste,2025-03-29,4,87.51876632335818,9.851980104436285,315.58573951013136,2025-03
260,Produto B,Filial Norte,2025-02-23,8,83.5527080230139,12.66823480484254,583.7444382788319,2025-02
261,Produto B,Filial Sul,2025-03-12,2,56.14537548355984,16.11051827152114,94.20012901533356,2025-03
262,Produto C,Filial Norte,2025-03-30,9,49.45464820276852,7.957683511140461,409.6728343551986,2025-03
263,Produto E,Filial Oeste,2025-03-26,14,99.66360578723892,16.119578017351675,1170.3755433644276,2025-03
264,Produto A,Filial Sul,2025-01-15,9,30.62547560927459,11.840336855781256,242.9938452010622,2025-01
265,Produto D,Filial Norte,2025-03-06,16,59.21883692884401,3.318020487415725,916.0631005941704,2025-03
